"('league', '')","('season', '')","('team', '')","('player', '')","('nation', '')","('pos', '')","('age', '')","('born', '')",minutes_90s,sca_total,sca_per_90,sca_types_pass_live,sca_types_pass_dead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_total,gca_per_90,gca_types_pass_live,gca_types_pass_dead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def
FRA-Ligue 1,2324,Nice,Romain Perraud,FRA,"DF,FW",26-248,1997,4.1,5,1.22,4,1,0,0,0,0,2,0.49,1,1,0,0,0,0
FRA-Ligue 1,2324,Nice,Sofiane Diop,FRA,FW,23-353,2000,5.5,17,3.07,14,0,1,1,1,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Terem Moffi,NGA,FW,25-002,1999,21.7,44,2.03,32,0,6,2,3,1,5,0.23,4,0,1,0,0,0
FRA-Ligue 1,2324,Nice,Tom Louchet,FRA,"MF,DF",21-023,2003,4.5,14,3.1,6,5,0,1,2,0,2,0.44,1,0,0,0,1,0
FRA-Ligue 1,2324,Nice,Valentin Rosier,FRA,"DF,MF",27-282,1996,0.6,4,6.92,1,1,0,1,1,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Youcef Atal,ALG,DF,28-010,1996,4.0,12,3.01,9,0,1,1,1,0,1,0.25,1,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Youssouf Ndayishimiye,BDI,"MF,DF",25-213,1998,19.0,29,1.52,27,1,0,1,0,0,1,0.05,1,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Achraf Hakimi,MAR,DF,25-205,1998,21.5,93,4.33,79,1,2,5,5,1,14,0.65,13,0,0,1,0,0
FRA-Ligue 1,2324,Paris S-G,Arnau Tenas,ESP,GK,22-363,2001,5.9,1,0.17,1,0,0,0,0,0,1,0.17,1,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Bradley Barcola,FRA,"FW,MF",21-268,2002,15.2,70,4.6,54,0,13,1,1,1,12,0.79,10,0,1,0,0,1
FRA-Ligue 1,2324,Paris S-G,Carlos Soler,ESP,"MF,DF",27-146,1997,12.1,37,3.06,30,2,1,2,2,0,2,0.17,2,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Cher Ndour,ITA,MF,19-305,2004,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Danilo Pereira,POR,DF,32-261,1991,22.2,14,0.63,14,0,0,0,0,0,2,0.09,2,0,0,0,0,0
